name;short_text;prob2_0
stal_6;"В большом старом доме светилось лишь одно окно, задернутое занавесью. Во дворе залаял внушительным басом привязанный на цепь Трезор.
Сквозь дремоту То";0.00026082707402936395
stal_17;Внизу, у нагроможденных беспорядочной кучей камней, плещется море. Обвевает лицо сухой «моряк», долетающий сюда из далекой Турции. Ломаной дугой втисн;0.0003269321415506164
stal_5;Красные упорно теснили части «головного» атамана Петлюры. Полк Голуба был вызван на фронт. В городке остались небольшое тыловое охранение и комендатур;0.0003327890380238768
stal_3;Тоня стояла у раскрытого окна. Она скучающе смотрела на знакомый, родной ей сад, на окружающие его высокие, стройные тополя, чуть вздрагивающие от лег;0.0002694417413807148
stal_8;"Смутно поблескивает река в предрассветной дымке; журчит по прибрежным камешкам-голышам. От берегов к середине река спокойная, гладь ее кажется неподви";0.00022093233768278036
stal_1;"– Кто из вас перед праздником приходил ко мне домой отвечать урок – встаньте!
Обрюзглый человек в рясе, с тяжелым крестом на шее, угрожающе посмотрел ";0.0012116056820858177
stal_7;Целую неделю городок, опоясанный окопами и опутанный паутиной колючих заграждений, просыпался и засыпал под оханье орудий и клекот ружейной перестрелк;0.0002354271995977963
stal_10;Полночь. Уже давно проволок свое разбитое туловище последний трамвай. Луна залила неживым светом подоконник. Голубоватым покрывалом лег луч ее на кров;0.0002721812863616574
stal_12;Молодость победила. Тиф не убил Корчагина. Павел перевалил четвертый раз смертный рубеж и возвращался к жизни. Только через месяц, худой и бледный, по;0.00019754851576414212
stal_14;Напряженно гудя электромотором, вагон трамвая карабкался вверх по Фундуклеевской. У оперного театра остановился. Из него высадилась группа молодежи, и;0.00030255415659917977
stal_2;"В маленький городок вихрем ворвалась ошеломляющая весть: «Царя скинули!»
В городке не хотели верить.
С приползшего в пургу поезда на перрон выкатились";0.000532340257646451
stal_11;"Федор в раздумье вынул изо рта коротенькую трубку и осторожно пощупал пальцами бугорок пепла. Трубка потухла.
Седой дым от десятка папирос кружил обла";0.00018891881596995452
stal_15;"У входа в концертный зал гостиницы стояли двое. На рукаве высокого в пенсне – красная повязка с надписью: «Комендант».
– Здесь заседание украинской де";0.0005043522140673597
stal_18;"Несколько дней в Москве они жили в кладовой архива одного из учреждений, начальник которого помогал поместить Корчагина в специальную клинику.
Только ";0.0010880020050174698
stal_9;"У спрута глаз выпуклый, с кошачью голову, тускло-красный, середина зеленая, горит-переливается живым светом. Спрут копошится десятками щупалец; они сл";0.0003227344810165065
stal_16;Рядом с санаторием Цека – большой сад центральной поликлиники. Через него коммунаровцы проходили к себе, возвращаясь с моря. Здесь, под тенью густой ч;0.000296735482196668
stal_4;"Острая, беспощадная борьба классов захватывала Украину.
Все большее и большее число людей бралось за оружие, и каждая схватка рождала новых участников";0.00029004337908205104
stal_13;Рубеж – это два столба. Они стоят друг против друга, молчаливые и враждебные, олицетворяя собой два мира. Один выстроганный и отшлифованный, выкрашенн;0.0001981054271931746
