name;short_text;prob2_0
stal_6;"В большом старом доме светилось лишь одно окно, задернутое занавесью. Во дворе залаял внушительным басом привязанный на цепь Трезор.
Сквозь дремоту То";0.0005796189672653514
stal_17;Внизу, у нагроможденных беспорядочной кучей камней, плещется море. Обвевает лицо сухой «моряк», долетающий сюда из далекой Турции. Ломаной дугой втисн;0.00040941999957267453
stal_5;Красные упорно теснили части «головного» атамана Петлюры. Полк Голуба был вызван на фронт. В городке остались небольшое тыловое охранение и комендатур;0.0021461450051783433
stal_3;Тоня стояла у раскрытого окна. Она скучающе смотрела на знакомый, родной ей сад, на окружающие его высокие, стройные тополя, чуть вздрагивающие от лег;0.0003883505581913685
stal_8;"Смутно поблескивает река в предрассветной дымке; журчит по прибрежным камешкам-голышам. От берегов к середине река спокойная, гладь ее кажется неподви";0.0024964302367887475
stal_1;"– Кто из вас перед праздником приходил ко мне домой отвечать урок – встаньте!
Обрюзглый человек в рясе, с тяжелым крестом на шее, угрожающе посмотрел ";0.0005682381895857348
stal_7;Целую неделю городок, опоясанный окопами и опутанный паутиной колючих заграждений, просыпался и засыпал под оханье орудий и клекот ружейной перестрелк;0.0008784813967376911
stal_10;Полночь. Уже давно проволок свое разбитое туловище последний трамвай. Луна залила неживым светом подоконник. Голубоватым покрывалом лег луч ее на кров;0.0010095764123095377
stal_12;Молодость победила. Тиф не убил Корчагина. Павел перевалил четвертый раз смертный рубеж и возвращался к жизни. Только через месяц, худой и бледный, по;0.0002192278021470523
stal_14;Напряженно гудя электромотором, вагон трамвая карабкался вверх по Фундуклеевской. У оперного театра остановился. Из него высадилась группа молодежи, и;0.0005578982966460423
stal_2;"В маленький городок вихрем ворвалась ошеломляющая весть: «Царя скинули!»
В городке не хотели верить.
С приползшего в пургу поезда на перрон выкатились";0.001235839102812277
stal_11;"Федор в раздумье вынул изо рта коротенькую трубку и осторожно пощупал пальцами бугорок пепла. Трубка потухла.
Седой дым от десятка папирос кружил обла";0.0003289926667572456
stal_15;"У входа в концертный зал гостиницы стояли двое. На рукаве высокого в пенсне – красная повязка с надписью: «Комендант».
– Здесь заседание украинской де";0.0005989203584817259
stal_18;"Несколько дней в Москве они жили в кладовой архива одного из учреждений, начальник которого помогал поместить Корчагина в специальную клинику.
Только ";0.0011586517356573
stal_9;"У спрута глаз выпуклый, с кошачью голову, тускло-красный, середина зеленая, горит-переливается живым светом. Спрут копошится десятками щупалец; они сл";0.00046878906524384304
stal_16;Рядом с санаторием Цека – большой сад центральной поликлиники. Через него коммунаровцы проходили к себе, возвращаясь с моря. Здесь, под тенью густой ч;0.0002358936961944197
stal_4;"Острая, беспощадная борьба классов захватывала Украину.
Все большее и большее число людей бралось за оружие, и каждая схватка рождала новых участников";0.0007495409748540412
stal_13;Рубеж – это два столба. Они стоят друг против друга, молчаливые и враждебные, олицетворяя собой два мира. Один выстроганный и отшлифованный, выкрашенн;0.0002319526646815268
